EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
300999.25,284418.90625,750000.0625,725489.0,750000.0625,301706.1875,461852.25,186579.40625,0.012451171875,0.98486328125,-0.048828125,-0.1220703050494194,-0.8850097060203552,-0.8544921278953552,46.66667175292969,75.0,1.0,WarmUp
300248.40625,283582.3125,750000.0625,723266.8125,750000.0625,300805.21875,460789.625,186252.984375,0.013427734375,0.986083984375,-0.04638671875,0.0,-0.7629393935203552,-0.8850097060203552,46.66667175292969,76.0,1.0,WarmUp
299673.0625,283199.9375,750000.0625,721318.1875,750000.0625,300254.84375,460097.09375,186573.421875,0.01513671875,0.986572265625,-0.0458984375,0.0,-0.7934569716453552,-0.7324218153953552,46.66667175292969,77.0,1.0,WarmUp
299146.65625,282930.09375,750000.0625,719497.4375,750000.0625,299912.5,459738.03125,187512.1875,0.015869140625,0.986572265625,-0.048095703125,0.0,-0.9765624403953552,-0.8544921278953552,46.66667175292969,78.0,1.0,WarmUp
298509.625,282309.0625,750000.0625,717581.875,750000.0625,299396.53125,459288.0625,188216.09375,0.014892578125,0.987548828125,-0.046142578125,-0.0610351525247097,-0.9155272841453552,-0.7934569716453552,46.66667175292969,79.0,1.0,WarmUp
297791.0625,281387.28125,749029.6875,715576.9375,749046.6875,298590.09375,458491.25,188152.25,0.0126953125,0.98681640625,-0.046875,-0.0610351525247097,-1.0375975370407104,-0.7324218153953552,46.66667175292969,80.0,1.0,WarmUp
297177.625,280678.28125,747596.25,713727.25,747613.5625,297821.90625,457632.78125,187871.96875,0.0126953125,0.98779296875,-0.04638671875,-0.1525878757238388,-0.9155272841453552,-0.7324218153953552,46.66667175292969,81.0,1.0,WarmUp
296734.875,280418.125,746242.875,712129.9375,746260.4375,297395.25,457131.5625,188220.109375,0.012939453125,0.985107421875,-0.046142578125,-0.1525878757238388,-1.0375975370407104,-0.8239745497703552,46.66667175292969,82.0,1.0,WarmUp
296325.9375,280255.03125,744947.125,710641.5625,744964.125,297165.90625,456950.875,189179.453125,0.013916015625,0.98291015625,-0.048583984375,-0.2746581733226776,-1.0375975370407104,-0.6713866591453552,46.66667175292969,83.0,1.0,WarmUp
295811.84375,279750.6875,743693.875,709061.8125,743710.875,296766.0,456681.3125,189927.078125,0.012939453125,0.982666015625,-0.049072265625,-0.2746581733226776,-1.0681151151657104,-0.6408690810203552,46.66667175292969,84.0,1.0,WarmUp
295219.1875,278952.90625,742490.625,707381.4375,742507.8125,296085.625,456069.21875,189921.265625,0.01416015625,0.98388671875,-0.0498046875,-0.1831054538488388,-1.1596678495407104,-0.5798339247703552,46.66667175292969,85.0,1.0,WarmUp
294720.5625,278354.25,741349.4375,705837.5625,741367.0625,295441.34375,455395.4375,189702.125,0.01416015625,0.98486328125,-0.05224609375,-0.2136230319738388,-1.2207030057907104,-0.5493163466453552,46.66667175292969,86.0,1.0,WarmUp
294383.9375,278192.875,740266.1875,704525.25,740283.9375,295117.6875,455053.65625,190094.359375,0.013671875,0.984375,-0.0498046875,-0.1525878757238388,-1.2512205839157104,-0.4882812201976776,46.66667175292969,87.0,1.0,WarmUp
294089.34375,278142.78125,739234.125,703319.875,739251.1875,295002.1875,455039.34375,191110.28125,0.0146484375,0.986328125,-0.048095703125,-0.1831054538488388,-1.1291502714157104,-0.3662109076976776,46.66667175292969,88.0,1.0,WarmUp
293674.5,277736.25,738230.5625,701997.4375,738247.3125,294699.28125,454916.03125,191890.984375,0.016845703125,0.9833984375,-0.046875,-0.2136230319738388,-1.1901854276657104,-0.3356933295726776,46.66667175292969,89.0,1.0,WarmUp
293164.59375,277019.3125,737261.5,700559.25,737278.3125,294099.71875,454430.03125,191904.21875,0.015869140625,0.982421875,-0.04736328125,-0.1831054538488388,-1.3122557401657104,-0.2136230319738388,46.66667175292969,90.0,1.0,WarmUp
